window_id,start_time,end_time,total_packets,total_bytes,avg_packet_size,avg_payload_size,packet_rate,small_packet_ratio,syn_count,ack_count,fin_count,label
149,1698376179.907962,1698376180.407962,199,19201.0,96.48743718592965,28.87939698492462,398.0,0.9346733668341709,10,189,40,1
159,1698376184.907962,1698376185.407962,1,66.0,66.0,0.0,2.0,1.0,0,1,0,1
160,1698376185.407962,1698376185.907962,22,3833.0,174.22727272727272,102.95454545454545,44.0,0.7727272727272727,4,18,0,1
161,1698376185.907962,1698376186.407962,61,4658.0,76.36065573770492,10.098360655737705,122.0,0.9836065573770492,2,59,32,1
162,1698376186.407962,1698376186.907962,492,35277.0,71.70121951219512,3.457317073170732,984.0,0.991869918699187,7,484,40,1
163,1698376186.907962,1698376187.407962,50,3308.0,66.16,0.0,100.0,1.0,1,49,22,1
171,1698376190.907962,1698376191.407962,181,13900.0,76.79558011049724,10.596685082872929,362.0,0.9779005524861878,3,178,39,1
172,1698376191.407962,1698376191.907962,494,34708.0,70.25910931174089,3.4898785425101213,988.0,0.9919028340080972,1,473,107,1
173,1698376191.907962,1698376192.407962,465,32021.0,68.86236559139785,3.2838709677419353,930.0,0.9935483870967742,4,438,159,1
180,1698376195.407962,1698376195.907962,10,668.0,66.8,0.0,20.0,1.0,1,9,9,1
181,1698376195.907962,1698376196.407962,58,4989.0,86.01724137931035,18.637931034482758,116.0,0.9482758620689655,7,51,34,1
182,1698376196.407962,1698376196.907962,218,18628.0,85.44954128440367,19.137614678899084,436.0,0.9541284403669725,10,199,53,1
183,1698376196.907962,1698376197.407962,120,10869.0,90.575,24.841666666666665,240.0,0.9416666666666667,8,103,49,1
184,1698376197.407962,1698376197.907962,182,22466.0,123.43956043956044,58.05494505494506,364.0,0.8626373626373627,28,124,0,1
185,1698376197.907962,1698376198.407962,186,23699.0,127.41397849462365,59.564516129032256,372.0,0.8602150537634409,22,162,0,1
186,1698376198.407962,1698376198.907962,285,38534.0,135.20701754385965,67.87368421052632,570.0,0.8456140350877193,45,239,0,1
187,1698376198.907962,1698376199.407962,157,21443.0,136.5796178343949,69.17834394904459,314.0,0.8343949044585988,29,125,0,1
188,1698376199.407962,1698376199.907962,384,52253.0,136.07552083333334,68.41927083333333,768.0,0.84375,60,320,0,1
189,1698376199.907962,1698376200.407962,289,37231.0,128.82698961937717,61.1522491349481,578.0,0.8546712802768166,47,238,0,1
